cat,date,time,estudent,price,address,pluscode,city,long_code,lat_long,gen,dum_gen,mov,dum_mov,Categorías/Observaciones
Minutos,3/04/2019,4:32:00,Daniel Camilo Tuirán,"200,00",Carrera 4 # 22 -61,JW4J+JW,Bogotá,67P7JW4J+JW,"4.6065625,-74.0676875",,,M,1,
Minutos,3/04/2019,4:36:00,Daniel Camilo Tuirán,"200,00",Carrera 4 # 22 -61,JW4J+HV,Bogotá,67P7JW4J+HV,"4.6064375,-74.0678125",,,M,1,
Minutos,3/04/2019,4:47:00,Daniel Camilo Tuirán,"200,00",Carrera 4 # 22 -61,JW4J+GV,Bogotá,67P7JW4J+GV,"4.6063125,-74.0678125",,,M,1,
Minutos,3/04/2019,4:56:00,Daniel Camilo Tuirán,"200,00",Carrera 4 # 21 - 09,JW4J+5P,Bogotá,67P7JW4J+5P,"4.6054375,-74.0681875",,,F,0,
Minutos,3/04/2019,5:04:00,Daniel Camilo Tuirán,"100,00",Carrera 4 # 20- 15,JW3J+RJ,Bogotá,67P7JW3J+RJ,"4.6045625,-74.0684375",,,F,0,
Minutos,20/02/2019,14:49:00,Juan Martín Londoño,"200,00",Cra. 7 # 12C-27,JW2G+FG,Bogotá,67P7JW2G+FG,"4.6011875,-74.0736875",,,M,1,
Minutos,20/02/2019,14:50:00,Juan Martín Londoño,"200,00",Cra. 6 Calle 12C,JW2G+FG,Bogotá,67P7JW2G+FG,"4.6011875,-74.0736875",,,M,1,
Minutos,20/02/2019,15:10:00,Juan Martín Londoño,"200,00",Cra. 6 Calle 12C,JW2G+4V,Bogotá,67P7JW2G+4V,"4.6003125,-74.0728125",,,F,0,
Minutos,20/02/2019,15:15:00,Juan Martín Londoño,"150,00",Cra. 6 Calle 12C,JW2G+4V,Bogotá,67P7JW2G+4V,"4.6003125,-74.0728125",,,M,1,
Minutos,20/02/2019,15:17:00,Juan Martín Londoño,"200,00",Cra. 6 Calle 12C,JW2G+4V,Bogotá,67P7JW2G+4V,"4.6003125,-74.0728125",,,M,1,
Minutos,20/02/2019,15:18:00,Juan Martín Londoño,"150,00",Cra. 6 Calle 12C,JW2G+4V,Bogotá,67P7JW2G+4V,"4.6003125,-74.0728125",,,M,1,
Minutos,20/02/2019,15:19:00,Juan Martín Londoño,"150,00",Calle 12C #5-82,JW2G+3W,Bogotá,67P7JW2G+3W,"4.6001875,-74.0726875",,,M,1,
Minutos,20/02/2019,15:21:00,Juan Martín Londoño,"200,00",Cra. 5 #12C-60,JW2H+64,Bogotá,67P7JW2H+64,"4.6005625,-74.0721875",,,F,0,
Minutos,20/02/2019,15:45:00,Juan Martín Londoño,"150,00",Cra. 6 Calle 12C,JW2G+4V,Bogotá,67P7JW2G+4V,"4.6003125,-74.0728125",,,M,1,
Minutos,20/02/2019,15:59:00,Juan Martín Londoño,"200,00",Calle 12C #4,HWXH+MH,Bogotá,67P7HWXH+MH,"4.5991875,-74.0710625",,,M,1,
Minutos,20/02/2019,16:02:00,Juan Martín Londoño,"200,00",Cra. 4 #12C-75,HWXH+XP,Bogotá,67P7HWXH+XP,"4.5999375,-74.0706875",,,F,0,
Minutos,20/02/2019,16:05:00,Juan Martín Londoño,"200,00",Calle 12 B #4-99,HWXH+JJ,Bogotá,67P7HWXH+JJ,"4.5990625,-74.0709375",,,F,0,
Minutos,20/02/2019,16:18:00,Juan Martín Londoño,"150,00",Calle 12 B #4-31,HWXH+96,Bogotá,67P7HWXH+96,"4.5984375,-74.0719375",,,M,1,
Minutos,20/02/2019,16:19:00,Juan Martín Londoño,"200,00",Calle 12B #4-31,HWXH+C4,Bogotá,67P7HWXH+C4,"4.5985625,-74.0721875",,,M,1,
Minutos,20/02/2019,16:22:00,Juan Martín Londoño,"200,00",Cra. 5 #12B-57,HWXH+M2,Bogotá,67P7HWXH+M2,"4.5991875,-74.0724375",,,M,1,
Minutos,20/02/2019,16:24:00,Juan Martín Londoño,"100,00",Calle 12B #5-07,HWXG+GV,Bogotá,67P7HWXG+GV,"4.5988125,-74.0728125",,,F,0,
Minutos,20/02/2019,14:15:00,Juan Martín Londoño,"150,00",Av. Jiménez #5-84,JW2H+93,Bogotá,67P7JW2H+93,"4.6009375,-74.0723125",,,M,1,
Minutos,20/02/2019,14:16:00,Juan Martín Londoño,"150,00",Av. Jiménez #5-84,JW2H+93,Bogotá,67P7JW2H+93,"4.6009375,-74.0723125",,,M,1,
Minutos,20/02/2019,14:18:00,Juan Martín Londoño,"200,00",Av. Jiménesz #5,JW2H+75,Bogotá,67P7JW2H+75,"4.6006875,-74.0720625",,,M,1,
Minutos,20/02/2019,14:21:00,Juan Martín Londoño,"200,00",Av. Jiménez #4-77,JW2H+4J,Bogotá,67P7JW2H+4J,"4.6003125,-74.0709375",,,M,1,
Minutos,20/02/2019,14:22:00,Juan Martín Londoño,"200,00",Av. Jiménez #4-77,JW2H+4J,Bogotá,67P7JW2H+4J,"4.6003125,-74.0709375",,,M,1,
Minutos,20/02/2019,14:26:00,Juan Martín Londoño,"200,00",Av. Jiménez #3-75,JW2J+62,Bogotá,67P7JW2J+62,"4.6005625,-74.0699375",,,F,0,
Minutos,20/02/2019,14:30:00,Juan Martín Londoño,"200,00",Cra. 3 #12A-54,HWXJ+X7,Bogotá,67P7HWXJ+X7,"4.5999375,-74.0693125",,,F,0,
Minutos,20/02/2019,14:39:00,Juan Martín Londoño,"150,00",Av. Jiménez Cra. 6,JW2G+8W,Bogotá,67P7JW2G+8W,"4.6008125,-74.0726875",,,F,0,
Minutos,20/02/2019,14:41:00,Juan Martín Londoño,"200,00",Av. Jiménez #6-71,JW2G+CQ,Bogotá,67P7JW2G+CQ,"4.6010625,-74.0730625",,,F,0,
Minutos,20/02/2019,14:42:00,Juan Martín Londoño,"200,00",Av. Jiménez Calle 13,JW2G+GJ,Bogotá,67P7JW2G+GJ,"4.6013125,-74.0734375",,,M,1,
Minutos,20/02/2019,14:43:00,Juan Martín Londoño,"200,00",Av. Jiménez Calle 13,JW2G+GJ,Bogotá,67P7JW2G+GJ,"4.6013125,-74.0734375",,,M,1,
Minutos,20/02/2019,14:44:00,Juan Martín Londoño,"200,00",Cra. 7 #12C-40,JW2G+FJ,Bogotá,67P7JW2G+FJ,"4.6011875,-74.0734375",,,M,1,
Minutos,20/02/2019,14:46:00,Juan Martín Londoño,"200,00",Cra. 7 #12-09,JW2G+CG,Bogotá,67P7JW2G+CG,"4.6010625,-74.0736875",,,F,0,
Minutos,20/02/2019,14:47:00,Juan Martín Londoño,"200,00",Cra. 7 #12-18,JW2G+9G,Bogotá,67P7JW2G+9G,"4.6009375,-74.0736875",,,F,0,
Minutos,20/02/2019,14:48:00,Juan Martín Londoño,"200,00",Cra. 7 #12-18,JW2G+9G,Bogotá,67P7JW2G+9G,"4.6009375,-74.0736875",,,F,0,
